L,p_proj,p_ctrl_index,tmi_mean,tmi_sem
8,pproj0.929,19,0.005832859516931338,0.0014039392423986113
8,pproj0.929,20,0.0052574953720277776,0.0013258134141785052
8,pproj0.964,0,0.0,0.0
8,pproj0.964,1,0.0004904146265058624,0.00037517145512353726
8,pproj0.964,2,0.0010397207708399154,0.0005999827000990962
8,pproj0.964,3,0.002510964650357503,0.0008831691650721905
8,pproj0.964,4,0.003321894866573833,0.0010569583045067065
8,pproj0.964,5,0.004505456673639637,0.0012152351905688724
8,pproj0.964,6,0.005635773966186633,0.0014250751028745492
8,pproj0.964,7,0.006159022109951181,0.00148165671609438
8,pproj0.964,8,0.006217913627779369,0.0014140249104281437
8,pproj0.964,9,0.008714114284186126,0.001752986247256496
8,pproj0.964,10,0.013116551916120135,0.002078606228280545
8,pproj0.964,11,0.011808995813398664,0.0019881756031130313
8,pproj0.964,12,0.010108397122567586,0.0018660877900393024
8,pproj0.964,13,0.01043512397227733,0.0018987707698158258
8,pproj0.964,14,0.008924835315501782,0.001757539917381009
8,pproj0.964,15,0.011227420408495828,0.0019157071230697276
8,pproj0.964,16,0.006787630769373555,0.0014863089540558228
8,pproj0.964,17,0.0067932777726829345,0.001469362769700173
8,pproj0.964,18,0.003982208529875092,0.0011314030070988385
8,pproj0.964,19,0.0027725887222397787,0.0009482560187839124
8,pproj0.964,20,0.0025109646503575053,0.0009285633377050219
12,pproj0.500,0,-0.06688870292403479,0.0053746373575466674
12,pproj0.500,1,-0.17095194993109022,0.009333314145977739
12,pproj0.500,2,-0.26631966207627317,0.011526403337511142
12,pproj0.500,3,-0.34235495749111433,0.013171023592966423
12,pproj0.500,4,-0.43187054786781204,0.014198775856501413
12,pproj0.500,5,-0.4878816688480327,0.014839856250314818
12,pproj0.500,6,-0.5705208791893711,0.01561770400002074
12,pproj0.500,7,-0.6278309731567853,0.016792854240236327
12,pproj0.500,8,-0.6543734210229846,0.01704218064774104
12,pproj0.500,9,-0.706190933060684,0.0175330549280708
12,pproj0.500,10,-0.6916319934103901,0.017226605851726393
12,pproj0.500,11,-0.7100207175707209,0.0176581406107326
12,pproj0.500,12,-0.6385202020643821,0.017130302860071733
12,pproj0.500,13,-0.5448285949412427,0.016909582069953386
12,pproj0.500,14,-0.4251955645393801,0.016878806375523452
12,pproj0.500,15,-0.2746394223386287,0.01540437016633995
12,pproj0.500,16,-0.13756987901001116,0.01277373000479695
12,pproj0.500,17,-0.040550509094162045,0.010140513339810399
12,pproj0.500,18,0.0023687045804436737,0.007413460463260125
12,pproj0.500,19,0.012118342821535748,0.004468110659911379
12,pproj0.500,20,0.0027696776907123358,0.0025669571305677453
12,pproj0.536,0,-0.03179982078735984,0.003731240224640452
12,pproj0.536,1,-0.12165866794101497,0.008188322348957902
12,pproj0.536,2,-0.20499575326575115,0.010205758440265094
12,pproj0.536,3,-0.2594916226818255,0.01138294535914726
12,pproj0.536,4,-0.3440088532290158,0.012979189834706866
12,pproj0.536,5,-0.3788185008582891,0.014079491161798796
12,pproj0.536,6,-0.4502747916501728,0.014706509210492285
12,pproj0.536,7,-0.497187022439509,0.01509404294546376
12,pproj0.536,8,-0.5521730598297777,0.015457946166825956
12,pproj0.536,9,-0.5862245558551133,0.016711202941688687
12,pproj0.536,10,-0.5986073458078782,0.016355840416411083
12,pproj0.536,11,-0.5722275721979223,0.015993431422401727
12,pproj0.536,12,-0.521643850533691,0.01622531935593456
12,pproj0.536,13,-0.4555592757469509,0.016399530553722088
12,pproj0.536,14,-0.3510090368700925,0.015969914164854854
12,pproj0.536,15,-0.19955938434706802,0.013539838843072492
12,pproj0.536,16,-0.11130210226368592,0.012336472444305522
12,pproj0.536,17,-0.016470642309329143,0.009261088806468308
12,pproj0.536,18,0.009532465974905747,0.006704799053988282
12,pproj0.536,19,0.01445026575942537,0.004117694017403806
12,pproj0.536,20,0.004052772613694862,0.0027545993255458177
12,pproj0.571,0,-0.017877985658332728,0.002640351678595167
12,pproj0.571,1,-0.07693950293164528,0.006491127773947787
12,pproj0.571,2,-0.11976077017951563,0.008368049053649717
12,pproj0.571,3,-0.19382142266459454,0.010397301779302596
12,pproj0.571,4,-0.23609572396394168,0.011284843527587142
12,pproj0.571,5,-0.30661535462745715,0.012969589975900022
12,pproj0.571,6,-0.3460131018254697,0.013502360261507047
12,pproj0.571,7,-0.4307018116761826,0.014603590520354441
12,pproj0.571,8,-0.4126242007769424,0.014913417710672781
12,pproj0.571,9,-0.48759824087992193,0.015712752840427977
12,pproj0.571,10,-0.47476862415155674,0.015429627303291714
12,pproj0.571,11,-0.4639069553607679,0.015677089950823966
12,pproj0.571,12,-0.46590142105506516,0.016264546868755433
12,pproj0.571,13,-0.37644558496558445,0.015435127290893136
12,pproj0.571,14,-0.2832101755643413,0.014298240905034646
12,pproj0.571,15,-0.18805541073325022,0.01367250880430559
12,pproj0.571,16,-0.06954137040833276,0.010970422090713009
12,pproj0.571,17,-0.004700606096022671,0.008279466749000229
12,pproj0.571,18,0.016620314276790116,0.005819113831284713
12,pproj0.571,19,0.014193841979988093,0.003948980299623263
12,pproj0.571,20,0.0056626626872424155,0.0026489619875972236
12,pproj0.607,0,-0.004158883083359693,0.0012937442875638056
12,pproj0.607,1,-0.0329883639738662,0.00507432863346809
12,pproj0.607,2,-0.08350410734269624,0.007495223710331622
12,pproj0.607,3,-0.1158078881395277,0.008962445902107773
12,pproj0.607,4,-0.13810484221227787,0.00976782882362372
12,pproj0.607,5,-0.1867946062200935,0.010654131110424894
12,pproj0.607,6,-0.25909178836499835,0.012737548300548945
12,pproj0.607,7,-0.29345482248572957,0.012572743427552885
12,pproj0.607,8,-0.3135218011477073,0.013389503057584316
12,pproj0.607,9,-0.34843278507152636,0.01424038877962765
12,pproj0.607,10,-0.3885568293655102,0.014530652418043062
12,pproj0.607,11,-0.37929134123579766,0.014436710484210045
12,pproj0.607,12,-0.33978048087408186,0.014398549695994271
12,pproj0.607,13,-0.29822235569369454,0.014229157154826935
12,pproj0.607,14,-0.1950068203665113,0.01313313927026437
12,pproj0.607,15,-0.11999091697555324,0.011742279279783278
12,pproj0.607,16,-0.03865294742676414,0.010181585127296265
12,pproj0.607,17,0.0033349036203476185,0.007967903560101571
12,pproj0.607,18,0.01887824844851798,0.005376154747451451
12,pproj0.607,19,0.02161432711359699,0.0032749766444575296
12,pproj0.607,20,0.0045129941162528366,0.0022264792637290555
12,pproj0.643,0,-0.0038123094930797123,0.0012469895488199068
12,pproj0.643,1,-0.02073890165267103,0.004530777844646879
12,pproj0.643,2,-0.03761971223080839,0.00594947609071792
12,pproj0.643,3,-0.06668190557810649,0.007322348898094311
12,pproj0.643,4,-0.10273780179271444,0.008965630179778092
12,pproj0.643,5,-0.11844510200629554,0.00936428654452218
12,pproj0.643,6,-0.16403695125954199,0.010588038331292796
12,pproj0.643,7,-0.20220758799654345,0.011855593966134089
12,pproj0.643,8,-0.23748756965171686,0.0125978830960562
12,pproj0.643,9,-0.2652678845912728,0.013145237343408911
12,pproj0.643,10,-0.2624596657749712,0.013035525465109853
12,pproj0.643,11,-0.27006215791112476,0.01310024211353888
12,pproj0.643,12,-0.2740182983750351,0.013431751074391329
12,pproj0.643,13,-0.22545676610820028,0.013505906981596282
12,pproj0.643,14,-0.1610299010206843,0.01220761964865807
12,pproj0.643,15,-0.08706960984846068,0.011241558272470063
